"","sp","taxo","group_kernels","group_detection","group_atlas"
"646","white-winged gull sp.",4369.9,"seabirds_larids","Gulls","Gulls"
"647","Great Black-backed Gull",4371,"seabirds_larids","Gulls","Gulls"
"648","Herring x Great Black-backed Gull (hybrid)",4371.3,"seabirds_larids","Gulls","Gulls"
"649","Glaucous x Great Black-backed Gull (hybrid)",4371.6,"seabirds_larids","Gulls","Gulls"
"650","Larus sp.",4378,"seabirds_larids","Gulls","Gulls"
"651","gull sp.",4379,"seabirds_larids","Gulls","Gulls"
"652","Sooty Tern",4414,"seabirds_larids","Terns","Terns"
"653","Least Tern",4440,"seabirds_larids","Terns","Terns"
"654","Gull-billed Tern",4456,"seabirds_larids","Terns","Terns"
"655","Caspian Tern",4463,"seabirds_larids","Terns","Terns"
"656","Black Tern",4465,"seabirds_larids","Terns","Terns"
"657","Black Tern",4467,"seabirds_larids","Terns","Terns"
"658","White-winged Tern",4468,"seabirds_larids","Terns","Terns"
"659","Roseate Tern",4479,"seabirds_larids","Terns","Terns"
"660","Common Tern",4492,"seabirds_larids","Terns","Terns"
"661","Common Tern",4493,"seabirds_larids","Terns","Terns"
"662","Arctic Tern",4497,"seabirds_larids","Terns","Terns"
"663","Common/Arctic Tern",4498,"seabirds_larids","Terns","Terns"
"664","Forster's Tern",4508,"seabirds_larids","Terns","Terns"
"665","Common/Forster's Tern",4508.5,"seabirds_larids","Terns","Terns"
"666","Sterna sp.",4514,"seabirds_larids","Terns","Terns"
"667","Royal Tern",4515,"seabirds_larids","Terns","Terns"
"668","Royal Tern",4517,"seabirds_larids","Terns","Terns"
"669","Sandwich Tern",4525,"seabirds_larids","Terns","Terns"
"670","Sandwich Tern",4526,"seabirds_larids","Terns","Terns"
"671","Sandwich Tern",4527,"seabirds_larids","Terns","Terns"
"672","Elegant Tern",4530,"seabirds_larids","Terns","Terns"
"673","large tern sp.",4537,"seabirds_larids","Terns","Terns"
"674","tern sp.",4538,"seabirds_larids","Terns","Terns"
"675","Black Skimmer",4539,"seabirds_larids","Terns","Terns"
"676","Black Skimmer",4540,"seabirds_larids","Terns","Terns"
"677","gull/tern sp.",4544.5,"seabirds_larids","",""
"678","Rock Pigeon",4673,"","",""
"679","Rock Pigeon",4673.5,"","",""
"680","Rock Pigeon",4686.5,"","",""
"681","Columba sp.",4752,"","",""
"682","Band-tailed Pigeon",4778,"","",""
"683","Band-tailed Pigeon",4779,"","",""
"684","Passenger Pigeon",4809.5,"","",""
"685","Oriental Turtle-Dove",4818,"","",""
"686","Eurasian Collared-Dove",4828,"","",""
"687","African Collared-Dove",4831,"","",""
"688","African Collared-Dove (Domestic type or Ringed Turtle-Dove)",4833.5,"","",""
"689","Eurasian/African Collared-Dove",4833.9,"","",""
"690","Ring-necked Dove",4843,"","",""
"691","Streptopelia sp.",4870,"","",""
"692","Inca Dove",4990.015,"","",""
"693","Common Ground-Dove",4990.02,"","",""
"694","Ruddy Ground-Dove",4990.14,"","",""
"695","White-winged Dove",4992,"","",""
"696","Mourning Dove",5015,"","",""
"697","Mourning Dove",5017,"","",""
"698","pigeon/dove sp.",5596,"","",""
"699","Gray Go-away-bird",6585,"","",""
"700","Groove-billed Ani",6600,"","",""
"701","Yellow-billed Cuckoo",6907,"","",""
"702","Black-billed Cuckoo",6911,"","",""
"703","Yellow-billed/Black-billed Cuckoo",6912,"","",""
"704","Coccyzus sp.",6925,"","",""
"705","Common Cuckoo",6942.2,"","",""
"706","cuckoo sp. (Cuculidae sp.)",6952.2,"","",""
"707","Barn Owl",6982,"","",""
"708","Barn Owl",7003,"","",""
"709","Flammulated Owl",7149.5,"","",""
"710","Western Screech-Owl",7150,"","",""
"711","Eastern Screech-Owl",7160,"","",""
"712","Eastern Screech-Owl",7161,"","",""
"713","Great Horned Owl",7254,"","",""
"714","Great Horned Owl",7255,"","",""
"715","Snowy Owl",7314,"raptors","",""
"716","Bubo sp.",7314.2,"","",""
"717","Northern Hawk Owl",7334,"","",""
"718","Northern Hawk Owl",7334.2,"","",""
"719","Northern Pygmy-Owl",7349,"","",""
"720","Northern Pygmy-Owl",7351,"","",""
"721","Northern Pygmy-Owl",7355,"","",""
"722","Burrowing Owl",7429,"","",""
"723","Burrowing Owl",7430,"","",""
"724","Spotted Owl",7521,"","",""
"725","Spotted Owl",7522,"","",""
"726","Barred Owl",7526,"","",""
"727","Barred Owl",7526.5,"","",""
"728","Great Gray Owl",7547,"","",""
"729","Great Gray Owl",7548,"","",""
"730","Long-eared Owl",7555,"","",""
"731","Long-eared Owl",7555.5,"","",""
"732","Long-eared Owl",7557.5,"","",""
"733","Short-eared Owl",7571,"raptors","",""
"734","Short-eared Owl",7572,"raptors","",""
"735","Long-eared/Short-eared Owl",7583.5,"","",""
"736","Asio sp.",7587.5,"","",""
"737","Boreal Owl",7595,"","",""
"738","Boreal Owl",7595.5,"","",""
"739","Boreal Owl",7601,"","",""
"740","Northern Saw-whet Owl",7602,"","",""
"741","owl sp.",7695,"","",""
"742","Lesser Nighthawk",7767,"","",""
"743","Common Nighthawk",7775,"","",""
"744","nighthawk sp.",7787,"","",""
"745","Common Poorwill",7862,"","",""
"746","Chuck-will's-widow",7867.5,"","",""
"747","Eastern Whip-poor-will",7912,"","",""
"748","Eastern/Mexican Whip-poor-will",7919,"","",""
"749","nightjar sp.",8024,"","",""
"750","Black Swift",8043,"","",""
"751","Black Swift",8044,"","",""
"752","White-collared Swift",8060,"","",""
"753","Chimney Swift",8096,"","",""
"754","Vaux's Swift",8097,"","",""
"755","Vaux's Swift",8098,"","",""
"756","Chimney/Vaux's Swift",8105,"","",""
"757","Chaetura sp.",8132,"","",""
"758","Pacific Swift",8321,"","",""
"759","White-throated Swift",8345,"","",""
"760","large swift sp.",8382,"","",""
"761","swift sp.",8384,"","",""
"762","Mexican Violetear",8504,"","",""
"763","Amethyst-throated Hummingbird",8834,"","",""
"764","Ruby-throated Hummingbird",8896,"","",""
"765","Black-chinned Hummingbird",8898,"","",""
"766","Ruby-throated/Black-chinned Hummingbird",8900,"","",""
"767","Anna's Hummingbird",8906,"","",""
"768","Costa's Hummingbird",8914,"","",""
"769","Broad-tailed Hummingbird",8922,"","",""
"770","Rufous Hummingbird",8924,"","",""
"771","Anna's x Rufous Hummingbird (hybrid)",8924.5,"","",""
"772","Rufous/Allen's Hummingbird",8932,"","",""
"773","Calliope Hummingbird",8946,"","",""
"774","Selasphorus sp.",8948,"","",""
"775","Broad-billed Hummingbird",8992,"","",""
"776","Xantus's Hummingbird",9240,"","",""
"777","hummingbird sp.",9298,"","",""
"778","Belted Kingfisher",9932,"","",""
"779","Lewis's Woodpecker",10870,"","",""
"780","Red-headed Woodpecker",10873,"","",""
"781","Acorn Woodpecker",10874,"","",""
"782","Acorn Woodpecker",10875,"","",""
"783","Red-bellied Woodpecker",10925,"","",""
"784","Melanerpes sp.",10932,"","",""
"785","Williamson's Sapsucker",10933,"","",""
"786","Yellow-bellied Sapsucker",10936,"","",""
"787","Red-naped Sapsucker",10938,"","",""
"788","Yellow-bellied x Red-naped Sapsucker (hybrid)",10938.5,"","",""
"789","Yellow-bellied/Red-naped Sapsucker",10939,"","",""
"790","Red-breasted Sapsucker",10941,"","",""
"791","Red-naped x Red-breasted Sapsucker (hybrid)",10943.5,"","",""
"792","Red-naped/Red-breasted Sapsucker",10943.7,"","",""
"793","sapsucker sp.",10944,"","",""
"794","Downy Woodpecker",11148,"","",""
"795","Downy Woodpecker",11149,"","",""
"796","Downy Woodpecker",11152,"","",""
"797","Downy Woodpecker",11155,"","",""
"798","Hairy Woodpecker",11164,"","",""
"799","Hairy Woodpecker",11165,"","",""
"800","Hairy Woodpecker",11170,"","",""
"801","Hairy Woodpecker",11174,"","",""
"802","Downy/Hairy Woodpecker",11179,"","",""
"803","White-headed Woodpecker",11185,"","",""
"804","American Three-toed Woodpecker",11194,"","",""
"805","American Three-toed Woodpecker",11195,"","",""
"806","American Three-toed Woodpecker",11196,"","",""
"807","American Three-toed Woodpecker",11197,"","",""
"808","Black-backed Woodpecker",11198,"","",""
"809","American Three-toed/Black-backed Woodpecker",11199,"","",""
"810","Picoides sp.",11200,"","",""
"811","Northern Flicker",11308,"","",""
"812","Northern Flicker",11311,"","",""
"813","Northern Flicker",11315,"","",""
"814","Northern Flicker",11319.5,"","",""
"815","Pileated Woodpecker",11396,"","",""
"816","woodpecker sp.",11579.6,"","",""
"817","Crested Caracara",11581.24,"","",""
"818","Eurasian Kestrel",11581.56,"","",""
"819","Eurasian Kestrel",11581.57,"","",""
"820","American Kestrel",11581.83,"","",""
"821","American Kestrel",11581.84,"","",""
"822","Merlin",11582.15,"raptors","",""
"823","Merlin",11582.23,"raptors","",""
"824","Merlin",11582.24,"raptors","",""
"825","Merlin",11582.25,"raptors","",""
"826","Gyrfalcon",11582.6,"raptors","",""
"827","Peregrine Falcon",11582.61,"raptors","",""
"828","Peregrine Falcon",11582.62,"raptors","",""
"829","Peregrine Falcon",11582.63,"raptors","",""
"830","Peregrine Falcon",11582.66,"raptors","",""
"831","Prairie Falcon",11582.83,"","",""
"832","large falcon sp.",11582.86,"","",""
"833","small falcon sp.",11582.87,"","",""
"834","falcon sp.",11582.88,"","",""
"835","diurnal raptor sp.",11582.89,"","",""
"836","Sulphur-crested Cockatoo",11583.44,"","",""
"837","Cockatiel",11583.52,"","",""
"838","Cockatiel (Domestic type)",11583.525,"","",""
"839","Rose-ringed Parakeet",11587.47,"","",""
"840","Red-rumped Parrot",11587.77561,"","",""
"841","Budgerigar",11587.77581,"","",""
"842","Budgerigar (Domestic type)",11587.77581,"","",""
"843","Rosy-faced Lovebird",11588.16,"","",""
"844","Fischer's Lovebird",11588.19,"","",""
"845","Gray Parrot",11588.33,"","",""
"846","Monk Parakeet",11588.88,"","",""
"847","Green-cheeked Parakeet",11590.81,"","",""
"848","Hyacinth Macaw",11591.45,"","",""
"849","Blue-and-yellow Macaw",11591.94,"","",""
"850","Mitred Parakeet",11592.4,"","",""
"851","parakeet sp.",11592.55,"","",""
"852","Olive-sided Flycatcher",14516,"","",""
"853","Western Wood-Pewee",14529,"","",""
"854","Eastern Wood-Pewee",14534,"","",""
"855","Western/Eastern Wood-Pewee",14535,"","",""
"856","pewee sp.",14564,"","",""
"857","Yellow-bellied Flycatcher",14573,"","",""
"858","Acadian Flycatcher",14574,"","",""
"859","Alder Flycatcher",14575,"","",""
"860","Willow Flycatcher",14576,"","",""
"861","Willow Flycatcher",14577,"","",""
"862","Willow Flycatcher",14579,"","",""
"863","Alder/Willow Flycatcher (Traill's Flycatcher)",14583,"","",""
"864","Least Flycatcher",14588,"","",""
"865","Hammond's Flycatcher",14589,"","",""
"866","Gray Flycatcher",14590,"","",""
"867","Dusky Flycatcher",14591,"","",""
"868","Hammond's/Dusky Flycatcher",14593,"","",""
"869","Pacific-slope Flycatcher",14600,"","",""
"870","Cordilleran Flycatcher",14604,"","",""
"871","Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)",14607,"","",""
"872","Empidonax sp.",14620,"","",""
"873","Black Phoebe",14621,"","",""
"874","Eastern Phoebe",14632,"","",""
"875","Say's Phoebe",14633,"","",""
"876","Vermilion Flycatcher",14637,"","",""
"877","Vermilion Flycatcher",14649,"","",""
"878","Dusky-capped Flycatcher",14887,"","",""
"879","Ash-throated Flycatcher",14921,"","",""
"880","Great Crested Flycatcher",14928,"","",""
"881","Myiarchus sp.",14953,"","",""
"882","Sulphur-bellied Flycatcher",15024,"","",""
"883","Variegated Flycatcher",15029,"","",""
"884","Tropical Kingbird",15038,"","",""
"885","Tropical/Couch's Kingbird",15043,"","",""
"886","Cassin's Kingbird",15045,"","",""
"887","Thick-billed Kingbird",15048,"","",""
"888","Western Kingbird",15051,"","",""
"889","Cassin's/Western Kingbird",15052,"","",""
"890","Eastern Kingbird",15055,"","",""
"891","Western x Eastern Kingbird (hybrid)",15055.5,"","",""
"892","Gray Kingbird",15056,"","",""
"893","Scissor-tailed Flycatcher",15068,"","",""
"894","Fork-tailed Flycatcher",15069,"","",""
"895","flycatcher sp. (Tyrannidae sp.)",15074,"","",""
"896","Yellow Chat",15783,"","",""
"897","Brown Shrike",17640,"","",""
"898","Loggerhead Shrike",17672,"","",""
"899","Northern Shrike",17684,"","",""
"900","Northern Shrike",17691.5,"","",""
"901","Loggerhead/Northern Shrike",17694,"","",""
"902","shrike sp.",17735,"","",""
"903","Black-capped Vireo",17749.993,"","",""
"904","White-eyed Vireo",17750,"","",""
"905","White-eyed Vireo",17751,"","",""
"906","Bell's Vireo",17778,"","",""
"907","Bell's Vireo",17779,"","",""
"908","Hutton's Vireo",17786.5,"","",""
"909","Hutton's Vireo",17787,"","",""
"910","Yellow-throated Vireo",17788,"","",""
"911","Cassin's Vireo",17797,"","",""
"912","Cassin's Vireo",17798,"","",""
"913","Blue-headed Vireo",17801,"","",""
"914","Cassin's/Blue-headed Vireo",17804,"","",""
"915","Plumbeous Vireo",17804.2,"","",""
"916","solitary vireo sp.",17805,"","",""
"917","Philadelphia Vireo",17827.8,"","",""
"918","Warbling Vireo",17828,"","",""
"919","Warbling Vireo",17829,"","",""
"920","Warbling Vireo",17830,"","",""
"921","Philadelphia/Warbling Vireo",17833,"","",""
"922","Red-eyed Vireo",17850,"","",""
"923","Red-eyed Vireo",17851,"","",""
"924","Philadelphia/Red-eyed Vireo",17862.5,"","",""
"925","Yellow-green Vireo",17864,"","",""
"926","vireo sp.",17878,"","",""
"927","Gray Jay",18722,"","",""
"928","Gray Jay",18723,"","",""
"929","Gray Jay",18728,"","",""
"930","Gray Jay",18731,"","",""
"931","Steller's Jay",18816,"","",""
"932","Steller's Jay",18820,"","",""
"933","Steller's Jay",18824,"","",""
"934","Blue Jay",18831,"","",""
"935","California Scrub-Jay",18840,"","",""
"936","jay sp.",18919.5,"","",""
"937","Black-billed Magpie",19000,"","",""
"938","Clark's Nutcracker",19007,"","",""
"939","Eurasian Jackdaw",19032,"","",""
"940","American Crow",19073,"passerines","",""
"941","Northwestern Crow",19078,"passerines","",""
"942","American/Northwestern Crow",19079,"passerines","",""
"943","Fish Crow",19087,"passerines","",""
"944","Chihuahuan Raven",19089,"passerines","",""
"945","Carrion Crow",19090,"passerines","",""
"946","crow sp.",19119,"passerines","",""
"947","Common Raven",19134,"passerines","",""
"948","raven sp.",19143,"passerines","",""
"949","crow/raven sp.",19143.5,"passerines","",""
"950","Horned Lark",19870,"passerines","",""
"951","Horned Lark",19886,"passerines","",""
"952","Horned Lark",19891,"passerines","",""
"953","Eurasian Skylark",19916.868,"passerines","",""
"954","Eurasian Skylark",19916.87,"passerines","",""
"955","Black-capped Swallow",19934,"","",""
"956","Northern Rough-winged Swallow",19940,"","",""
"957","Northern Rough-winged Swallow",19941,"","",""
"958","Purple Martin",19953,"","",""
"959","Purple Martin",19954,"","",""
"960","Tree Swallow",19972,"passerines","",""
"961","Violet-green Swallow",19981,"","",""
"962","Tree/Violet-green Swallow",19983.7,"","",""
"963","Tachycineta sp.",19984.5,"","",""
"964","Bank Swallow",19996,"","",""
"965","Barn Swallow",20037,"","",""
"966","Barn Swallow",20039,"","",""
"967","Barn Swallow",20043,"","",""
"968","Barn Swallow",20045,"","",""
"969","Cliff Swallow",20122,"","",""
"970","Cliff Swallow",20123,"","",""
"971","Cave Swallow",20128,"","",""
"972","Cave Swallow",20129,"","",""
"973","Cave Swallow",20134,"","",""
"974","Cliff/Cave Swallow",20136,"","",""
"975","swallow sp.",20176,"","",""
"976","Carolina Chickadee",20240,"","",""
"977","Black-capped Chickadee",20246,"","",""
"978","Carolina x Black-capped Chickadee (hybrid)",20256,"","",""
"979","Carolina/Black-capped Chickadee",20256.5,"","",""
"980","Mountain Chickadee",20258,"","",""
"981","Mountain Chickadee",20259,"","",""
"982","Mountain Chickadee",20263,"","",""
"983","Black-capped x Mountain Chickadee (hybrid)",20267,"","",""
"984","Chestnut-backed Chickadee",20275,"","",""
"985","Boreal Chickadee",20279,"","",""
"986","Gray-headed Chickadee",20285,"","",""
"987","chickadee sp.",20290,"","",""
"988","Eurasian Blue Tit",20429,"","",""
"989","Tufted Titmouse",20484,"","",""
"990","Tufted/Black-crested Titmouse",20490,"","",""
"991","Great Tit",20500.004,"","",""
"992","Bushtit",20708,"","",""
"993","Bushtit",20709,"","",""
"994","Red-breasted Nuthatch",20757,"","",""
"995","White-breasted Nuthatch",20761,"","",""
"996","White-breasted Nuthatch",20762,"","",""
"997","White-breasted Nuthatch",20763,"","",""
"998","White-breasted Nuthatch",20768,"","",""
"999","Pygmy Nuthatch",20773,"","",""
"1000","nuthatch sp.",20827,"","",""
"1001","Brown Creeper",20846,"","",""
"1002","Brown Creeper",20847,"","",""
"1003","Brown Creeper",20855,"","",""
"1004","Rock Wren",20884.1,"","",""
"1005","Rock Wren",20884.2,"","",""
"1006","Canyon Wren",20904,"","",""
"1007","House Wren",21138,"","",""
"1008","House Wren",21139,"","",""
"1009","Pacific Wren",21229,"","",""
"1010","Pacific Wren",21239,"","",""
"1011","Winter Wren",21245,"","",""
"1012","Pacific/Winter Wren",21247.1,"","",""
"1013","Sedge Wren",21248,"passerines","",""
"1014","Sedge Wren",21249,"passerines","",""
"1015","Marsh Wren",21276,"passerines","",""
"1016","Marsh Wren",21277,"passerines","",""
"1017","Marsh Wren",21282,"passerines","",""
"1018","Marsh Wren",21286,"passerines","",""
"1019","Carolina Wren",21319,"","",""
"1020","Carolina Wren",21320,"","",""
"1021","Bewick's Wren",21330,"","",""
"1022","Bewick's Wren",21330.2,"","",""
"1023","Bewick's Wren",21331,"","",""
"1024","wren sp.",21374.73,"","",""
"1025","Blue-gray Gnatcatcher",21403,"","",""
"1026","Blue-gray Gnatcatcher",21404,"","",""
"1027","American Dipper",21475,"","",""
"1028","American Dipper",21476,"","",""
"1029","Golden-crowned Kinglet",21932,"","",""
"1030","Ruby-crowned Kinglet",21939,"","",""
"1031","kinglet sp.",21963,"","",""
"1032","Wood Warbler",22015,"","",""
"1033","Bluethroat",23403.0592,"","",""
"1034","Siberian Rubythroat",23403.0645,"","",""
"1035","Red-flanked Bluetail",23403.0662,"","",""
"1036","Northern Wheatear",23403.097,"","",""
"1037","Northern Wheatear",23403.0971,"","",""
"1038","Eastern Bluebird",24482,"","",""
"1039","Eastern Bluebird",24483,"","",""
"1040","Western Bluebird",24491,"","",""
"1041","Mountain Bluebird",24499,"","",""
"1042","Eastern x Mountain Bluebird (hybrid)",24499.3,"","",""
"1043","bluebird sp.",24500,"","",""
"1044","Townsend's Solitaire",24501,"","",""
"1045","Veery",24592,"","",""
"1046","Gray-cheeked Thrush",24597,"","",""
"1047","Bicknell's Thrush",24600,"","",""
"1048","Gray-cheeked/Bicknell's Thrush",24601,"","",""
"1049","Swainson's Thrush",24602,"","",""
"1050","Swainson's Thrush",24603,"","",""
"1051","Swainson's Thrush",24607,"","",""
"1052","Hermit Thrush",24608,"","",""
"1053","Hermit Thrush",24609,"","",""
"1054","Hermit Thrush",24614,"","",""
"1055","Hermit Thrush",24618,"","",""
"1056","Catharus sp.",24621,"","",""
"1057","Wood Thrush",24622,"","",""
"1058","Eurasian Blackbird",24687,"","",""
"1059","Dusky Thrush",24770,"","",""
"1060","Fieldfare",24773,"","",""
"1061","Redwing",24774,"","",""
"1062","Redwing",24776,"","",""
"1063","American Robin",24903,"passerines","",""
"1064","American Robin",24904,"passerines","",""
"1065","American Robin",24905,"passerines","",""
"1066","Turdus sp.",24932,"","",""
"1067","Varied Thrush",24933,"","",""
"1068","American Robin/Varied Thrush",24936.5,"","",""
"1069","thrush sp.",24993,"","",""
"1070","Gray Catbird",26358,"","",""
"1071","Curve-billed Thrasher",26380,"","",""
"1072","Brown Thrasher",26393,"","",""
"1073","Sage Thrasher",26423,"","",""
"1074","Northern Mockingbird",26464,"","",""
"1075","Common Hill Myna",26568,"","",""
"1076","European Starling",26621,"","",""
"1077","White-cheeked Starling",26647,"","",""
"1078","Common Myna",26648,"","",""
"1079","Crested Myna",26667.5,"","",""
"1080","Siberian Accentor",27451,"","",""
"1081","Western Yellow Wagtail",27480,"","",""
"1082","Eastern Yellow Wagtail",27495,"","",""
"1083","Citrine Wagtail",27501,"","",""
"1084","White Wagtail",27518,"","",""
"1085","White Wagtail",27522,"","",""
"1086","Red-throated Pipit",27660,"","",""
"1087","American Pipit",27669,"passerines","",""
"1088","American Pipit",27671,"passerines","",""
"1089","Sprague's Pipit",27675,"","",""
"1090","pipit sp.",27712,"","",""
"1091","Bohemian Waxwing",27734,"","",""
"1092","Cedar Waxwing",27738,"","",""
"1093","Bohemian/Cedar Waxwing",27739,"","",""
"1094","Phainopepla",27755,"","",""
"1095","Lapland Longspur",27763.5,"passerines","",""
"1096","Chestnut-collared Longspur",27764,"","",""
"1097","Smith's Longspur",27765,"","",""
"1098","McCown's Longspur",27766,"","",""
"1099","longspur sp.",27766.3,"","",""
"1100","Snow Bunting",27766.4,"passerines","",""
"1101","McKay's Bunting",27768,"","",""
"1102","Snow x McKay's Bunting (hybrid)",27768.5,"","",""
"1103","Snow/McKay's Bunting",27768.7,"","",""
"1104","Ovenbird",27769,"","",""
"1105","Worm-eating Warbler",27772,"","",""
"1106","Louisiana Waterthrush",27773,"","",""
"1107","Northern Waterthrush",27774,"","",""
"1108","Louisiana/Northern Waterthrush",27775,"","",""
"1109","Golden-winged Warbler",27776.5,"","",""
"1110","Blue-winged Warbler",27777,"","",""
"1111","Golden-winged x Blue-winged Warbler (hybrid)",27781.1,"","",""
"1112","Brewster's Warbler (hybrid)",27781.2,"","",""
"1113","Lawrence's Warbler (hybrid)",27781.4,"","",""
"1114","Golden-winged/Blue-winged Warbler",27781.5,"","",""
"1115","Black-and-white Warbler",27782,"","",""
"1116","Prothonotary Warbler",27783,"","",""
"1117","Swainson's Warbler",27784,"","",""
"1118","Tennessee Warbler",27792,"","",""
"1119","Orange-crowned Warbler",27793,"","",""
"1120","Orange-crowned Warbler",27793.5,"","",""
"1121","Orange-crowned Warbler",27794,"","",""
"1122","Orange-crowned Warbler",27795,"","",""
"1123","Orange-crowned Warbler",27796,"","",""
"1124","Lucy's Warbler",27800,"","",""
"1125","Nashville Warbler",27801,"","",""
"1126","Nashville Warbler",27802,"","",""
"1127","Nashville Warbler",27803,"","",""
"1128","Virginia's Warbler",27804,"","",""
"1129","Oreothlypis sp.",27805,"","",""
"1130","Connecticut Warbler",27807,"","",""
"1131","MacGillivray's Warbler",27822,"","",""
"1132","Mourning Warbler",27824,"","",""
"1133","MacGillivray's/Mourning Warbler",27824.4,"","",""
"1134","Kentucky Warbler",27825,"","",""
"1135","Common Yellowthroat",27838,"","",""
"1136","Common Yellowthroat",27838.5,"","",""
"1137","Common Yellowthroat",27842,"","",""
"1138","Common Yellowthroat",27848,"","",""
"1139","Mourning Warbler x Common Yellowthroat (hybrid)",27851.4,"","",""
"1140","Hooded Warbler",27860,"","",""
"1141","American Redstart",27861,"","",""
"1142","Kirtland's Warbler",27862,"","",""
